step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
168,1,-104.8681,183626.08,0.03521,85.25,0.042597,0.9973,
336,2,-81.3546,170788.17,0.01867,86.00,0.014532,0.9947,
504,3,-87.4912,185850.37,0.02585,90.50,0.016059,0.9920,
672,4,-110.3565,186592.20,0.02666,88.50,0.011100,0.9894,
840,5,-85.1132,188624.49,0.00871,90.00,0.020564,0.9867,
1008,6,-103.0070,203476.65,0.02045,91.00,0.011076,0.9840,
1176,7,-105.0071,203634.65,0.01703,90.25,0.009853,0.9814,
1344,8,-100.7249,191123.44,0.01018,83.25,0.017291,0.9787,
1512,9,-87.3503,182053.59,0.02413,90.50,0.012512,0.9761,
1680,10,-84.1943,176796.62,0.03135,88.50,0.011436,0.9734,
1848,11,-94.4123,193299.28,0.02458,90.25,0.041935,0.9707,
2016,12,-82.7631,175749.44,0.01073,86.50,0.017866,0.9681,
2184,13,-83.9554,175055.92,0.02182,88.00,0.011433,0.9654,
2352,14,-96.1478,193129.84,0.02716,90.25,0.022916,0.9628,
2520,15,-87.5582,180728.84,0.02666,90.25,0.010027,0.9601,
2688,16,-96.9998,195748.68,0.02296,90.75,0.020484,0.9574,
2856,17,-80.7783,168056.56,0.06582,98.75,0.017361,0.9548,
3024,18,-82.1279,170532.84,0.03321,90.00,0.036557,0.9521,
3192,19,-81.9136,168574.40,0.01612,82.75,0.018096,0.9495,
3360,20,-81.1249,168286.20,0.02046,84.50,0.029017,0.9468,
3528,21,-83.2900,176691.69,0.03174,88.00,0.015469,0.9441,
3696,22,-82.8119,175461.24,0.01715,88.50,0.012494,0.9415,
3864,23,-82.0333,171289.74,0.02751,87.00,0.012092,0.9388,
4032,24,-86.8340,176365.58,0.01749,86.75,0.029873,0.9362,
4200,25,-98.1699,193703.71,0.02166,86.25,0.030580,0.9335,
4368,26,-81.2121,169956.19,0.01831,85.00,0.024468,0.9308,
4536,27,-79.1138,166659.75,0.04281,94.50,0.026734,0.9282,
4704,28,-102.7478,193732.93,0.02813,88.75,0.032624,0.9255,
4872,29,-79.3555,168144.03,0.01210,81.00,0.025478,0.9229,
5000,29,,,,,,,-81.7389
5040,30,-100.8616,190671.07,0.01814,85.75,0.017784,0.9202,
5208,31,-98.3330,198472.30,0.03361,94.75,0.015865,0.9175,
5376,32,-81.1621,173002.84,0.02295,88.00,0.030686,0.9149,
5544,33,-85.6486,170951.54,0.03251,92.50,0.024272,0.9122,
5712,34,-80.0685,163003.43,0.02091,81.25,0.024518,0.9096,
5880,35,-78.4478,161324.88,0.03391,83.00,0.041282,0.9069,
